On-Campus,For,Building,Room Type,"Bathroom Type (Community, shared, private)",Cost (per semester),Address,"A/C (No, Central, Window)"
,Upperclassman,Roselawn House,Apartment Double,Shared,"6,640","1-16 Roselawn Terrace, Pittsburgh, PA 15217",No
,Upperclassman,Roselawn House,Apartment Single,Shared,"6,997","1-16 Roselawn Terrace, Pittsburgh, PA 15217",No
,Freshman,Scobell House,Traditional Double,Community,"5,200","5120 Margaret Morrision St, Pittsburgh, PA 15217",Window
,Freshman,Scobell House,Traditional Double,Community,"6,075","5120 Margaret Morrision St, Pittsburgh, PA 15217",Window
,Upperclassman,Shirley Apartments ,Apartment Double,Shared,"6,640","133 N Dithridge St, Pittsburgh, PA 15213",Window
,Upperclassman,Shirley Apartments ,Apartment Double as Single,Shared,"7,486","133 N Dithridge St, Pittsburgh, PA 15213",Window
,Upperclassman,Shirley Apartments ,Studio Apartment Single,Private,"7,251","133 N Dithridge St, Pittsburgh, PA 15213",Window
,Upperclassman,Spirit House,Semi-Suite Double,Shared,"5,741","5115 Margaret Morrison St, Pittsburgh, PA 15213",No
,Upperclassman,Spirit House,Semi-Suite Single,Shared,"6,665","5115 Margaret Morrison St, Pittsburgh, PA 15213",No
,Upperclassman,Spirit House,Semi-Suite Triple,Shared,"5,200","5115 Margaret Morrison St, Pittsburgh, PA 15213",No
,Freshman,Stever House,Traditional Double,Community,"5,200","1030 Morewood Ave, Pittsburgh, PA 15213",Window
,Freshman,Welch House,Semi-Suite Double,Shared,"5,741","5110 Skibo Drive, Pittsburgh, PA 15213",No
,Freshman,Welch House,Semi-Suite Single,Shared,"6,665","5110 Skibo Drive, Pittsburgh, PA 15213",No
,Upperclassman,West Wing,Semi-Suite Double,Shared,"5,741","5119 Forbes Ave, Pittsburgh, PA 15213",Central
,Upperclassman,West Wing,Semi-Suite Single,Shared,"6,665","5119 Forbes Ave, Pittsburgh, PA 15213",Central
,Upperclassman,West Wing,Suite Double,Shared,"6,092","5119 Forbes Ave, Pittsburgh, PA 15213",Central
,Upperclassman,West Wing,Suite Single,Shared,"6,868","5119 Forbes Ave, Pittsburgh, PA 15213",Central
,Upperclassman,Woodlawn Apartments,Apartment Double,Shared,"6,640","5176 Margaret Morrison St, Pittsburgh, PA 15213",Window
,Upperclassman,Woodlawn Apartments,Apartment Single,Shared,"6,997","5176 Margaret Morrison St, Pittsburgh, PA 15213",Window
